#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,host,topic,altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.006081911Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.532,0,1272.453,-0.029,-0.032,-0.005,-0.02,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.046682073Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.532,0,1272.453,-0.029,-0.032,-0.005,-0.02,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.105302011Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.532,0,1272.453,-0.029,-0.032,-0.005,-0.02,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.115398733Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.52,0.001,1272.456,-0.025,-0.027,-0.005,-0.019,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.154677877Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.52,0.001,1272.456,-0.025,-0.027,-0.005,-0.019,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.184705545Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.444,0.001,1272.454,-0.025,-0.033,-0.005,-0.021,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.227686808Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.444,0.001,1272.454,-0.025,-0.033,-0.005,-0.021,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.256694952Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.448,0.001,1272.451,-0.025,-0.025,-0.006,-0.02,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.294483809Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.448,0.001,1272.451,-0.025,-0.025,-0.006,-0.02,0.31292099,37.51375198,0,33.704
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:56.328675907Z,mqtt_consumer,b3c2aae627c0,esp32/message,1272.448,0.001,1272.449,-0.024,-0.03,-0.005,-0.02,0.31292099,37.51375198,0,33.706
